Business Name,Category,City,Address,Phone,Rating,Reviews
Max Super Speciality Hospital,Hospital,Delhi,"Max Super Speciality Hospital Indraprastha Extension, Delhi",07795671073,4.1,"20,085 Ratings"
BLK-MAX Super Speciality Hospital,Hospital,Delhi,"Building No. 5 Pusa Road, Delhi",08050872706,4.4,"32,053 Ratings"
Medanta The Medicity,Hospital,Gurgaon,"CH Baktawar Singh Road Gurgaon Sector 38, Gurgaon",09036271049,4.3,"30,730 Ratings"
Swami Satyanand Hospital,Hospital,Faridabad,"Faridabad Sector-7, Faridabad",07411719517,3.7,112 Ratings
Mahindru Hospitals,Hospital,Delhi,"Main Najafgarh Road Uttam Nagar, Delhi",07411960781,4.1,"2,738 Ratings"
Metro Multispeciality Hospital,Hospital,Noida,"Metro Multispeciality Hospital Noida Sector 11, Noida",,4.1,"3,914 Ratings"
Shuddhi Hiims Ayurvedic Clinics and Hospitals,Hospital,Faridabad,"Shushma Complex Ajronda Chowk Faridabad Sector 20b, Faridabad",,4.9,259 Ratings
26 Years in Healthcare,Hospital,Delhi,"Main Najafgarh Road Uttam Nagar, Delhi",08105061055,4.0,229 Ratings
Jeena Sikho Hiims Ayurvedic Clinics & Hospitals By Acharya Manish Ji,Hospital,Delhi,"Plot No-338. Kh No-86 Ground Floor Prahladpur, Delhi",07383635504,3.5,2 Ratings
Khandelwal Hospital & Urology Centre Pvt. Ltd.,Hospital,Delhi,"Main Road Krishna Nagar East, Delhi",07411718634,3.9,908 Ratings
Omkar Hospital (A Unit Proxima Generacion Pvt Ltd),Hospital,Delhi,"Khaira Road Najafgarh, Delhi",08460519494,5.0,
Manipal Hospital,Hospital,Delhi,"Manipal Hospital Dwarka Sector 6, Delhi",08123203688,4.5,"21,477 Ratings"
1 Year in Healthcare,Hospital,Delhi,"Pocket 2 Dwarka Sector 6, Delhi",08147010493,3.5,2 Ratings
Gobhania Hospital,Hospital,Delhi,"Goushala Road Najafgarh, Delhi",07405758988,4.1,71 Ratings
Divine Multispeciality Hospital & Cancer Centre,Hospital,Delhi,"Main Jagatpura Road Wazirabad, Delhi",08123401162,3.9,264 Ratings
Alfaa Hospital,Hospital,Gurgaon,"Main Farrukhnagar Road Basai Road, Gurgaon",08123141914,4.0,262 Ratings
Sahayog Hospital Gurugram,Hospital,Gurgaon,"Opposite Huda Market Gurgaon Sector 46, Gurgaon",08401944170,4.9,85 Ratings
Aadhya9 Multi -speciality Hospital,Hospital,Delhi,"Old Rajender Nagar West Patel Nagar, Delhi",09054321824,4.3,192 Ratings
